Welcome to the DougScore!,,,WEEKEND,,,,,TOTAL,DAILY,,,,,TOTAL,DOUGSCORE,Video Link,Filming Location,,Vehicle Country
,,,Styling,Acceleration,Handling,Fun Factor,Cool Factor,,Features,Comfort,Quality,Practicality,Value,,,,,,
,,,,,,,,,,,,,,,,,,,
2018,Rolls-Royce,Phantom,6,5,5,6,8,30,9,10,9,5,5,38,68,33:31:00,La Jolla,California,UK
2020,Audi,R8 Decennium,7,10,8,9,7,41,7,5,8,2,5,27,68,21:43,Costa Mesa,California,Germany
2020,Bentley,Flying Spur W12,7,8,5,5,6,31,8,9,9,5,6,37,68,25:00:00,San Diego,California,UK
2022,Porsche,Cayman GT4RS,6,9,9,9,8,41,6,3,8,2,7,26,67,30:20:00,San Diego,California,Germany
2022,Porsche,911 GTS Coupe,7,9,8,8,6,38,7,4,9,3,6,29,67,21:58,San Diego,California,Germany
2021,Mecedes-AMG,GT Black Series,7,9,9,9,8,42,6,3,7,3,6,25,67,27:52:00,Temecula,California,Germany
2018,Mercedes-Benz,AMG GTR,7,9,8,9,7,40,6,4,7,3,7,27,67,20:06,Newport Beach,California,Germany
2021,Dodge,Durango Hellcat,6,9,5,7,6,33,7,6,6,9,6,34,67,27:38:00,Charlotte,North Carolina,USA
2015,McLaren,650S,7,10,9,9,7,42,6,4,6,2,7,25,67,18:30,Tysons Corner,Virginia,UK
2021,Porsche,Cayenne GTS,7,7,6,6,5,31,8,7,8,8,5,36,67,14:28,San Diego,California,Germany
2019,Mercedes - Benz,AMG G63,7,7,5,6,6,31,7,8,7,9,5,36,67,24:13:00,Upland,California,Germany
2011,Ferrari,599 GTO,8,9,9,9,8,43,5,4,7,2,6,24,67,20:28,Upland,California,Italy
2020,Porsche,911 991 Speedster,7,8,8,10,7,40,6,4,9,2,6,27,67,23:39,San Diego,California,Germany
2019,Tesla,Model 3 Performance,5,9,6,6,5,31,9,7,6,6,8,36,67,34:09:00,,California,USA
2020,McLaren,GT,7,9,8,8,7,39,6,5,7,4,6,28,67,25:46:00,San Diego,California,UK
2020,Porsche,911 Carrera S,7,9,8,7,6,37,7,5,9,3,6,30,67,29:34:00,San Diego,California,Germany
2006,Bugatti,Veyron,7,10,8,10,10,45,4,4,7,1,6,22,67,34:31:00,Upland,California,France
2019,Aston Martin,DB11 AMR,8,9,7,7,7,38,6,6,8,4,5,29,67,10:28,Newport Beach,California,UK
2010,Audi,R8 V10,8,8,8,8,7,39,5,5,8,2,8,28,67,10:49,San Francisco,California,Germany
2019,Aston Martin,Vantage,7,9,8,8,7,39,6,6,7,3,6,28,67,23:13,Newport Beach,California,UK
2017,Ferrari,California T,7,9,8,8,7,39,6,5,8,3,6,28,67,11:56,Colts Neck,New Jersey,Italy
2017,Mercedes-Benz,AMG GT S,7,8,8,8,7,38,6,6,7,3,7,29,67,8:13,West Chester,Pennsylvania,Germany
2005,Ford,GT,9,8,9,10,9,45,3,4,7,1,7,22,67,8:31,Brampton,Ontario,USA
2017,Lamborghini,Aventador SV,8,10,8,9,9,44,6,3,7,2,5,23,67,14:42,Tysons Corner,Virginia,Italy
2017,Porsche,Panamera Turbo,6,8,6,6,6,32,7,7,9,6,6,35,67,22:55,Warrington,Pennsylvania,Germany
2017,Bentley,Bentayga,5,8,5,6,6,30,6,9,9,8,5,37,67,9:40,Golden Valley,Minnesota,UK
2020,Porsche,911 C2S Manual,7,8,8,8,6,37,7,5,9,3,6,30,67,13:14,San Diego,California,Germany
2021,Mercedes-Maybach,S580,6,7,5,5,6,29,9,9,9,5,5,37,66,28:09:00,San Diego,California,Germany
2021,Mercedes - Benz,S580,6,7,5,5,5,28,9,9,9,5,6,38,66,33:32:00,Newport Beach,California,Germany
2014,Ferrari,FF,5,9,7,7,7,35,5,6,7,5,8,31,66,26:01:00,San Diego,California,Italy
2020,Polestar,1,8,7,6,7,7,35,8,7,7,4,5,31,66,27:35:00,San Diego,California,Sweden
2018,Aston Martin,Lagonda Taraf,10,7,6,6,9,38,5,7,7,5,4,28,66,29:53:00,Los Angeles,California,UK
2021,Lexus,LC500 Convertible,8,7,6,6,6,33,8,6,10,3,6,33,66,27:58:00,San Diego,California,Japan
2020,Porsche,718 Cayman GT4,6,7,9,10,6,38,6,4,9,2,7,28,66,24:11:00,San Diego,California,Germany
2020,Range Rover,Velar SV Autobiography,7,7,6,6,6,32,8,6,6,8,6,34,66,23:56,San Diego,California,UK
2020,BMW,M8 Competition,7,9,7,6,6,35,8,7,7,4,5,31,66,23:17,Santa Ana,California,Germany
2020,BMW,X3M Competition,6,8,6,7,5,32,7,6,7,8,6,34,66,11:27,Santa Ana,California,Germany
2019,McLaren,600LT,7,10,10,10,7,44,6,2,6,2,6,22,66,22:42,San Diego,California,UK
2019,Cadillac,CTS-V,7,8,6,7,6,34,7,7,7,5,6,32,66,21:33,Tustin,California,USA
2018,Jaguar,I-Pace,6,7,5,6,5,29,8,7,6,9,7,37,66,26:49:00,Carlsbad,California,UK
2019,BMW,M850i,7,8,7,6,6,34,8,7,7,4,6,32,66,22:14,Santa Ana,California,Germany
2018,Rolls-Royce,Dawn,6,7,5,6,7,31,8,10,9,4,4,35,66,8:19,La Jolla,California,UK
2020,Alfa Romeo,Stelvio Quadrifoglio,7,8,6,7,6,34,6,6,6,8,6,32,66,13:21,San Diego,California,Italy
2018,Alfa Romeo,Stelvio Quadrifoglio,7,8,6,7,6,34,6,6,6,8,6,32,66,22:23,Bethesda,Maryland,Italy
2017,Acura,NSX,8,9,8,8,7,40,6,4,8,2,6,26,66,15:48,Montclair,New Jersey,Japan
2017,Aston Martin,DB11,8,8,7,7,7,37,6,6,8,4,5,29,66,12:17,Summit,New Jersey,UK
2014,Audi,R8,8,7,8,8,7,38,5,5,8,2,8,28,66,16:31,Birmingham,Michigan,Germany
2018,Jeep,Grand Cherokee Trackhawk,6,9,5,7,6,33,7,6,6,8,6,33,66,25:42:00,Annapolis,Maryland,USA
2018,Lexus,LC 500,8,7,6,6,6,33,8,6,10,3,6,33,66,20:00,East Haven,Connecticut,Japan
2020,Audi,SQ7,6,7,5,5,5,28,9,7,7,9,6,38,66,13:23,Santa Ana,California,Germany
2022,Ford,F-150 Lightning,5,7,3,6,6,27,8,7,7,9,7,38,65,29:18:00,San Antonio,Texas,USA
2022,Audi,S8,6,8,6,5,5,30,8,8,8,5,6,35,65,21:23,San Diego,California,Germany
2020,Audi,S8,6,8,6,5,5,30,8,8,8,5,6,35,65,23:40,Santa Ana,California,Germany
2022,Hyundai,Ioniq 5 Limited,7,5,5,5,6,28,8,7,7,9,6,37,65,23:21,San Diego,California,South Korea
2022,BMW,i4 M50,6,8,6,6,5,31,8,7,7,6,6,34,65,24:54:00,San Diego,California,Germany
2022,BMW,iX xDrive50,4,7,5,6,6,28,9,8,7,7,6,37,65,31:02:00,San Diego,California,Germany
2022,Cadillac,CT4-V Blackwing,6,8,6,7,6,33,8,7,6,5,6,32,65,15:52,San Diego,California,USA
2017,Ford,F-150 Raptor,7,5,4,7,6,29,7,7,7,8,7,36,65,13:24,Philadelphia,Pennsylvania,USA
2021,BMW,M4 Competition,6,8,7,7,6,34,8,6,7,4,6,31,65,14:36,Santa Ana,California,Germany
2021,Mercedes - Maybach,GLS600,6,6,4,4,6,26,9,9,9,7,5,39,65,29:54:00,San Diego,California,Germany
2015,Mercedes - Benz,CLS63 Shooting Brake,7,7,6,6,7,33,6,6,7,7,6,32,65,22:26,Los Angeles,California,Germany
2020,McLaren,620R,7,10,10,10,7,44,6,2,6,2,5,21,65,12:32,San Diego,California,UK
2021,Ford,Mustang Mach-E Premium,6,6,5,6,5,28,8,7,7,9,6,37,65,9:09,Los Angeles,California,USA
2021,Aston Martin,Vantage Roadster,8,8,8,8,7,39,6,6,7,2,5,26,65,22:23,San Diego,California,UK
2017,Mercedes-Maybach,S650 Cabriolet,7,7,5,5,6,30,8,9,8,4,6,35,65,28:41:00,Temecula,California,Germany
2019,Jaguar,XE SV Project 8,6,9,7,8,6,36,6,6,7,5,5,29,65,25:56:00,San Diego,California,UK
2019,Maserati,Levante Trofeo,6,8,6,6,5,31,8,6,6,8,6,34,65,10:05,Ontario,California,Italy
2019,BMW,M2 Competition,6,8,8,8,6,36,6,5,7,4,7,29,65,10:44,Los Angeles,California,Germany
2017,Nissan,GT-R Nismo,6,10,9,8,7,40,6,3,7,4,5,25,65,20:26,Upland,California,Japan
1988,Porsche,959,6,8,7,8,10,39,4,5,6,4,7,26,65,35:21:00,Newport Beach,California,Germany
2013,Mercedes-Benz,SLS AMG Black Series,8,8,9,9,8,42,5,4,7,2,5,23,65,20:43,Upland,California,Germany
2012,Mercedes-Benz,SLS AMG,8,8,9,9,7,41,5,4,7,2,6,24,65,10:36,Tysons Corner,Virginia,Germany
2016,Porsche,911R,7,8,9,9,8,41,6,4,9,2,3,24,65,15:37,Birmingham,Michigan,Germany
2008,Mercedes-Benz,CLK63 AMG Black Series,9,7,8,9,7,40,4,4,6,3,8,25,65,22:01,West Chester,Pennsylvania,Germany
2019,Chevrolet,Corvette ZR1,6,10,8,8,7,39,6,3,6,3,8,26,65,25:20:00,Annapolis,Maryland,USA
2017,Ford,Shelby GT350R,7,8,9,9,6,39,5,5,5,4,7,26,65,10:20,Gaithersburg,Maryland,USA
2018,Aston Martin,Vanquish S Volante,9,8,7,7,7,38,6,6,7,3,5,27,65,20:24,Tysons Corner,Virginia,UK
2018,Dodge,Challenger SRT Demon,6,10,5,7,8,36,5,7,6,4,7,29,65,28:49:00,Irvine,California,USA
2012,Mercedes-Benz,E63 AMG Wagon,6,7,6,6,6,31,6,6,7,8,7,34,65,22:02,Philadelphia,Pennsylvania,Germany
2015,Rolls-Royce,Wraith,6,7,5,5,7,30,8,10,9,4,4,35,65,18:27,Lansdale,Pennsylvania,UK
2022,Mercedes-Benz,EQS 450+,6,4,5,4,6,25,9,9,8,6,7,39,64,38:54:00,San Diego,California,Germany
2021,Ford,F-150 Raptor,6,5,4,7,6,28,8,7,7,8,6,36,64,30:49:00,San Diego,California,USA
2013,Mercedes - Benz,SLS Roadster,7,8,8,9,7,39,5,4,7,2,7,25,64,22:06,Carlsbad,California,Germany
2015,McLaren,P1 GTR,8,10,10,10,10,48,2,1,6,1,6,16,64,8:50,Newport Beach,California,UK
2016,Tesla,Model X,5,6,5,5,6,27,9,7,4,10,7,37,64,11:55,Philadelphia,Pennsylvania,USA
2018,Chevrolet,Camaro ZL1 1LE,7,8,8,7,6,36,6,5,6,4,7,28,64,10:57,Upland,California,USA
2020,Dodge,Charger Hellcat Widebody,7,8,5,7,7,34,6,7,6,5,6,30,64,24:48:00,San Diego,California,USA
2020,Ford,Shelby GT500,7,9,8,8,6,38,6,5,5,3,7,26,64,28:13:00,Las Vegas,Nevada,USA
2020,BMW,750i,6,8,5,5,5,29,8,8,8,5,6,35,64,23:46,Santa Ana,California,Germany
2007,Ferrari,F430 Spider,8,8,8,8,7,39,4,4,7,2,8,25,64,12:31,Upland,California,Italy
2018,BMW,M3 CS,6,8,7,7,6,34,6,6,7,5,6,30,64,9:10,Santa Ana,California,Germany
2003,Aston Martin,Vanquish,10,7,6,8,7,38,4,5,6,3,8,26,64,23:14,Summit,New Jersey,UK
2007,Porsche,911 Turbo,7,8,7,8,6,36,4,6,8,3,7,28,64,12:48,Tysons Corner,Virginia,Germany
2011,BMW,1 Series M,6,6,8,9,7,36,5,6,6,4,7,28,64,11:02,Montvale,New Jersey,Germany
2017,Bentley,Mulsanne Speed,6,5,5,5,7,28,7,10,9,5,5,36,64,15:08,Tysons Corner,Virginia,UK
2012,Lexus,LFA,6,8,8,8,9,39,5,5,9,2,4,25,64,19:13,Bridgewater,New Jersey,Japan
2017,Ferrari,GTC4Lusso,5,9,7,7,7,35,6,6,8,5,4,29,64,18:24,Philadelphia,Pennsylvania,Italy
2017,Bentley,Continental SuperSports,6,9,7,6,6,34,5,8,8,4,5,30,64,18:18,Tysons Corner,Virginia,UK
2018,Audi,RS3,7,8,6,7,5,33,6,6,7,5,7,31,64,24:30:00,Baltimore,Maryland,Germany
2018,Lexus,LS 500h,6,5,5,4,5,25,9,9,10,5,6,39,64,28:19:00,Lynwood,Washington,Japan
2017,Mercedes-Benz,Maybach S600,6,6,5,5,5,27,8,10,8,5,6,37,64,27:26:00,Melbourne,Australia,Germany
2017,BMW,M2,6,7,7,8,6,34,6,6,7,4,7,30,64,7:09,Cherry Hill,New Jersey,Germany
2020,Land Rover,Defender P400,6,5,4,6,6,27,8,7,6,9,7,37,64,36:22:00,Carlsbad,California,UK
2019,Mercedes-Benz,G550,7,4,4,5,6,26,8,8,7,9,6,38,64,27:39:00,Newport Beach,California,Germany
2020,Chevrolet,Corvette C8,6,10,8,8,6,38,7,4,6,2,7,26,64,37:47:00,Las Vegas,Nevada,USA
2022,Kia,EV6 GT-Line,6,5,5,5,5,26,8,7,7,9,6,37,63,26:32:00,San Diego,California,South Korea
2021,Mercedes - Benz,E450 AT Wagon,6,6,5,4,4,25,9,8,8,8,5,38,63,26:35:00,San Diego,California,Germany
2020,Volvo,V60 Polestar,7,7,5,4,5,28,8,7,7,8,5,35,63,12:55,San Diego,California,Sweden
2021,Jaguar,F-Type R,7,9,7,7,6,36,6,6,7,2,6,27,63,22:58,San Diego,California,UK
2003,Porsche,996 GT2,7,8,8,9,7,39,3,4,7,3,7,24,63,13:47,Upland,California,Germany
2006,Lamborghini,Murcielago Roadster,8,8,7,9,9,41,4,3,6,2,7,22,63,23:08,Boerne,Texas,Italy
